timestamp,open,high,low,close,volume
2019-02-13,29.8100,29.8800,29.5000,29.8400,30040089
2019-02-12,29.8500,30.0300,29.7346,29.8100,29989070
2019-02-11,29.5800,29.8400,29.4600,29.7100,29057321
2019-02-08,29.4000,29.5600,29.1000,29.5500,24281568
2019-02-07,29.5400,29.5600,28.9200,29.4500,37887746
2019-02-06,29.7000,29.7900,29.5200,29.5600,22928167
2019-02-05,29.6700,29.7100,29.4647,29.6300,29276888
2019-02-04,30.0300,30.0300,29.5600,29.6100,39034259
2019-02-01,30.2100,30.3600,29.9000,30.0000,41076164
2019-01-31,29.5000,30.0900,29.1450,30.0600,52176969
2019-01-30,29.9600,30.4000,29.0100,29.3700,92953484
2019-01-29,30.6200,30.7000,30.4500,30.7000,31342725
2019-01-28,30.6200,30.6800,30.4300,30.6700,31028573
2019-01-25,30.6800,31.0350,30.6400,30.6600,30505705
2019-01-24,30.7800,30.7800,30.2700,30.6000,24393843
2019-01-23,30.7200,30.9000,30.5900,30.8900,27854624
2019-01-22,30.9200,30.9900,30.4200,30.5800,37658459
2019-01-18,30.8200,31.0300,30.5200,30.9600,43249105
2019-01-17,30.5500,30.7450,30.4050,30.6400,26266965
2019-01-16,30.5300,30.7500,30.3500,30.5600,24494417
2019-01-15,30.5200,30.6000,30.2300,30.6000,26735374
2019-01-14,30.7000,30.7800,30.3900,30.6200,24468180
2019-01-11,30.4000,30.9500,30.3100,30.8700,28933612
2019-01-10,30.0500,30.4800,29.8200,30.4000,32015596
2019-01-09,30.8800,30.8800,29.9700,30.1000,44305280
2019-01-08,31.3100,31.3800,31.0300,31.2800,43567261
2019-01-07,30.7300,31.2700,30.4200,30.8900,41070898
2019-01-04,29.9600,30.3800,29.8850,30.3400,42072388
2019-01-03,29.5200,29.8065,29.2100,29.5800,37603571
2019-01-02,28.5000,29.5900,28.3000,29.5400,39293953
2018-12-31,28.5700,28.6400,28.0900,28.5400,52861533
2018-12-28,28.1900,28.8000,28.1700,28.4600,50588253
2018-12-27,27.8100,28.1600,27.1700,28.1500,58571190
2018-12-26,27.5000,28.1000,26.8000,28.0800,57391215
2018-12-24,28.2100,28.2900,27.3600,27.3600,41110050
2018-12-21,28.3400,29.2400,28.1400,28.3100,79660738
2018-12-20,29.8400,29.8600,28.1900,28.6500,76716349
2018-12-19,29.9200,30.3000,29.6137,29.8200,51419590
2018-12-18,29.6300,30.0200,29.6000,29.7500,44497114
2018-12-17,30.1300,30.2400,29.6000,29.8600,44021662
2018-12-14,29.8300,30.4000,29.7000,30.2200,42741389
2018-12-13,30.0900,30.1900,29.5500,29.9100,49097777
2018-12-12,30.1100,30.2900,29.9250,30.1600,40903671
2018-12-11,30.4400,30.6700,29.5850,29.7000,49563330
2018-12-10,30.0800,30.0900,29.1700,29.9100,41052118
2018-12-07,30.2200,30.8800,30.0100,30.1400,37474553
2018-12-06,30.4800,30.5600,29.8500,30.5300,51999337
2018-12-04,31.7300,32.0100,30.6700,30.7300,44831310
2018-12-03,31.7400,31.9000,31.3100,31.7100,43725277
2018-11-30,30.7100,31.4300,30.6800,31.2400,80467279
2018-11-29,30.3700,30.7100,30.2000,30.5700,30877349
2018-11-28,30.4400,30.8700,30.3500,30.7400,34470875
2018-11-27,29.8400,30.4900,29.7200,30.4400,32155693
2018-11-26,29.6500,30.1500,29.6400,29.9500,35791456
2018-11-23,29.7600,29.7600,29.3500,29.3600,13401041
2018-11-21,29.5000,30.0250,29.4100,29.7700,30306459
2018-11-20,29.9700,30.1800,29.4000,29.4200,41394289
2018-11-19,30.3400,30.6950,30.2100,30.3500,27957692
2018-11-16,30.0700,30.4200,29.9500,30.2900,28929502
2018-11-15,30.3500,30.3700,29.9000,30.1200,38917357
2018-11-14,30.5500,30.7150,30.1100,30.5100,31293471
2018-11-13,30.8500,30.9000,30.2800,30.3300,25640955
2018-11-12,30.7000,31.2300,30.6500,30.7800,25935270
2018-11-09,30.9800,31.0800,30.4400,30.6900,39994705
